Timestamp	Language	Hashtags	Mentioned	Emojies	Content
2019-03-04 16:21:07	fi	elämänpienetilot		😍 ☀ 😅	Ja niin taas uus viikko lähti käyntii! Tiiättekö ku snapchat muistuttelee vuosi sitten/kaksi vuotta sitten tänä päivänä ja olin täysin unohtanu mun sillosen lemppari ruuan?? Juuri nyt rupeen tekee siis kanasalaattia à la pauliina 😍 Kyllästymiseen asti 😅 Ja sit nyt on jotain mitä odottaa, nimittäin kreikka kutsuu kesän alussa! ☀️ #elämänpienetilot
2020-09-13 16:10:39	en			🦥	Summer is over, back to work tomorrow 🦥
2020-09-13 15:07:26	fi				
2020-09-13 14:44:23	en	coffeetime sunday			The weekend flew by... #sunday #coffeetime
2020-09-13 09:29:15	sw			😋	Masaya yan? 😋
2020-09-11 14:42:41	en	roastery cappuccino paulig afterwork roasterycafe cake cafelove cafe pauligkulma cafesinhelsinki coffee friday cafephoto caketime coffeeculture coffeetime	pauligkulma		My kinda #afterwork . Also love the lightning of this place ♡ Ooh, and there just came a sweet scent sensation of fresh roasted coffee ♡ #cafesinhelsinki #cafephoto #cafelove #cafe #pauligkulma #paulig #friday @pauligkulma #cake #caketime #cappuccino #coffee #coffeetime #coffeeculture #roastery #roasterycafe
2020-09-10 16:49:12	en	paulig afternooncoffee finnishlife coffeebreak	saanaveera	☕ 📸	Afternoon coffee hits different ☕️ 📸 @saanaveera #afternooncoffee #finnishlife #coffeebreak #paulig
2020-09-09 16:16:41	en	hskicks inmyjs solecollector aj1squad jordans klekttakeover jordansaddict ccwmns nicekicks complexsneakers HSSneakers kicksonfire jordandepot stockxsneakers whatsyourgirlwearing hypebae teamjumpman jordan1society		🤔	Working hard or hardly working? 🤔 _______________________________________________ . . . . . #HSSneakers #jordan1society #aj1squad #teamjumpman #inmyjs #kicksonfire #nicekicks #hypebae #solecollector #jordansaddict #complexsneakers #jordans #jordandepot #hskicks #stockxsneakers #whatsyourgirlwearing #klekttakeover #ccwmns
2020-09-07 17:06:42	en			👉 🏾	Let me tell you something.. it’s not always easy. 👉🏾
2020-09-02 13:34:49	fi	heylook eventstyling tapahtumasuunnittelu heylookpopsby eventprofessionals tapahtumastailaus eventdesign evenemang weareheylook oddlygood	valiofi		⁣@valiofi #oddlygood kaurajuomien lanseeraustilaisuuteen stailasimme kahvilaan kattauksia eri teemoilla, jotka nostivat esille kaurajuomien monikäyttöisyyttä.⠀ ⠀ #heylookpopsby #weareheylook #heylook #eventstyling #eventdesign #eventprofessionals #tapahtumasuunnittelu #tapahtumastailaus #evenemang
2020-09-02 03:21:48	fi	ja paulig visithelsinki pauliginkulma helsingfors helsinki helsinkialeksanteri aleksanterinkatu9 pauligkulma aleksihelsinki lomamuistoja kahvilla			Loma muistoja Käytiin vielä viimeisillä kahveilla pauligin kulmassa ennen kotio lähtöä #visithelsinki #pauliginkulma #pauligkulma #jäälatte #paulig #kahvilla #aleksihelsinki #aleksanterinkatu9 #helsinkialeksanteri #lomamuistoja #helsinki #helsingfors
2020-08-31 10:30:11	fi	heylook eventstyling tapahtumasuunnittelu heylookpopsby eventprofessionals tapahtumastailaus eventdesign evenemang weareheylook	pauligkulma		⁣@pauligkulma on yksin meidän lempparitapahtumapaikoista sen sisälle tulvivan luonnonvalon ansiosta. Luonnonvalo luo mahdollisuuden raikkaiden valokuvien ottamisen.⠀ ⠀ Ootko käynyt tsekkaamassa jo uudistuneen Kulman?⠀ ⠀ #heylookpopsby #weareheylook #heylook #eventstyling #eventdesign #eventprofessionals #tapahtumasuunnittelu #tapahtumastailaus #evenemang
2020-08-31 10:13:04	en	tbt			#tbt catching the rainbow feat. my old lady hands
2019-10-04 15:50:19	en	friendshipgoals goodmoodfood dairyfree freebreakfast breku letsrace vegan powau breakfastgoals pauligkulma veganbreakfast yummie breakfasttime glutenfree	pauligkulma	♀ 🙀 🏻 ✨ 🙋 💌 🥑 😇 🏼 📩 ♥ 🍯 ‼ 🏆 👇	‼️🥑FREE BREKU FOR TWO🥑‼️⁣ We have new Brekkie menu in Paulig Kulma and we want to share these goodies with you guys ✨⁣ ⁣ It’s Friyayyy so let’s race 🏆👇🏼⁣ 1. like this post +⁣ 2. follow us +⁣ 3. tag your soulmate in breakfast⁣ -you can win breakfast for yourself and for your hun 🙋🏻‍♀️🍯⁣ Breakfast is served in Paulig Kulma Helsinki ( @pauligkulma )♥️⁣ The competition ends on 7.10 midnight and the winner will be notified personally by DM 📩💌⁣ There will be three pairs as winners!⁣ ⁣ Instagram or Facebook is not guilty of this race 😇⁣ •⁣ •⁣ #freebreakfast 🙀 #breku #breakfasttime #breakfastgoals #friendshipgoals #powau #pauligkulma #letsrace #glutenfree #dairyfree #vegan #veganbreakfast #yummie #goodmoodfood
2019-10-01 10:49:10	en	yummy	6ananagal pauligkulma	😍 👑 ✨ 🌹 ♥	N e w ✨✨✨✨B r e k k i e menu @pauligkulma 😍 jibii! #yummy ⁣ ⁣ Wazz new? vegan chocolate pancakes, powau granola & berries and milk, crab toast and smoothie of the month for example! The menu is designed by the best @6ananagal (can't live without her👑🌹✨)⁣ ⁣ Plz come and try it !!♥️⁣
2020-09-07 17:06:42	en			👉 🏾	Let me tell you something.. it’s not always easy. 👉🏾
2019-09-06 05:31:06	fi			🍳 🥑 😚 🍇 ☕	☕️🍳🍇🥑 aamupala & kaupungin vilinä. Ihanaa viikonloppua 😚
2020-08-17 13:31:22	fi			💛 ☀	Aina yhtä mukavaa käydä Helsingissä asioimassa ja hengailla kamusen kanssa matcha kupposen äärellä☀️ Ps.kotona odottaa rääkyvä sähköposti kaaos sekä muutama muu homma, mutta nyt nautin auringosta, seurasta ja tästä hetkestä - kotitoimisto saa hetken odottaa💛 Miten siellä viikko startannut?
2020-03-18 16:52:55	fi	babesofmissguided sponsored	riinapuonti eevaroots missguided	😌	Teki rehellisesti tosi hyvää käydä tänään vähän ihmisten ilmoilla - muuallakin kuin lähikaupassa😌 Dress @missguided #sponsored #babesofmissguided Photos @riinapuonti Edit @eevaroots
2018-12-03 18:44:12	fi	nailboxhelsinki_nudet nailboxhelsinki	nailboxhelsinki	🏻 🌸 🙊 ✨ 💖 🥇 ◾ 💅 🎀	Mikä näistä lakkauksista saa tittelin ”Marraskuun manikyyri”? 🥇🙊 Valitsimme 5 hienointa manikyyriä, mutta vain sinä päätät, mikä näistä on paras! Kommentoi alle: 1, 2, 3, 4 vai 5? ✨ ⠀ Mistä tiedät, että geelilakkaus sopii sinulle? ◾️kynsilakka irtoaa liian nopeasti; ◾️haluat kasvattaa omia kynsia; ◾️sinulla on vaurioituneet kynnet; ◾️haluat saada kynsiisi hienoja koristeluja; ◾️haluat säästää aikaa kynsilakkauksessa ja olla aina valmis menemään! ⠀ Tutustu hinnastoomme: 🌸50€ Geelilakkaus ilman koristeluja 🌸55€ Geelilakkaus koristelulla, 1-4 kynttä 🌸60€ Geelilakkaus koristelulla, yli 4 kynttä ⠀ 🌸Paciuksenkaari 14 💖+358 445 171173 🎀 Ajanvaraus WhatsAppissa (linkki keskusteluun biossa @nailboxhelsinki) 💅🏻#nailboxhelsinki_nudet #nailboxhelsinki
2020-09-24 14:29:40	en	helsinki smoothiebowl		🍒 ❤ 🥥 🍓	Beautiful inside and out 🍓🥥🍒❤️ #smoothiebowl #helsinki
2019-03-04 16:21:07	fi	elämänpienetilot		😍 ☀ 😅	Ja niin taas uus viikko lähti käyntii! Tiiättekö ku snapchat muistuttelee vuosi sitten/kaksi vuotta sitten tänä päivänä ja olin täysin unohtanu mun sillosen lemppari ruuan?? Juuri nyt rupeen tekee siis kanasalaattia à la pauliina 😍 Kyllästymiseen asti 😅 Ja sit nyt on jotain mitä odottaa, nimittäin kreikka kutsuu kesän alussa! ☀️ #elämänpienetilot
2020-08-30 11:50:34	fi	pauliginkulma vegancake ainosyo veganchocolatecake vegaaninenhelsinki whatveganseat		👎	Pauligin kulman vegaaninen suklaakakku ei kyllä ainakaan tällä kertaa pääse jatkoon. Jotenkin outo kokonaisuus, jossa pohja on ällön makea ja muu osa todella laimean kaakaoinen sekä mauton. 👎 #ainosyöruokaa #vegaaninenhelsinki #pauliginkulma #veganchocolatecake #whatveganseat #vegancake
2020-08-30 11:48:37	et				Kahvia
2020-08-30 08:09:38	fi	tytär brunssi pauliginkulma		❤	Loistava aamun aloitus. Oman tyttären kanssa brunssilla❤️ On ollut niin kova ikävä. #tytär #brunssi #pauliginkulma
2020-08-28 16:38:54	fi			🏼 👌 ☕	☕️👌🏼
2020-08-27 11:32:54	en	helsinki coffee city		☕	coffee in helsinki ☕️ #helsinki #city #coffee
2020-08-26 14:56:52	en	exhibition pauligkulma frombeantocup			It is my greatest pleasure to announce that my photo exhibition is now also open in Finland, at Paulig Kulma Café. Go grab a cup of good coffee and see journey from bean to cup. Or check it on my website - mihkelj.com #exhibition #pauligkulma #frombeantocup
2020-08-25 10:27:21	en			😋	Jaakko shot a whole load of pictures for Paulig Kulma's new menu and products in addition to new material for social media channes. Word on the street is that he did't leave the set with an empty stomach...😋 Photography: Jaakko Jylhä Food styling: Ella Takalainen & Marianna Mänttäri
2020-08-24 08:50:50	fi			🍰 ☕	Kahvi ja kakkupala (ja seura) hymyilytti :—)☕️🍰
2020-08-21 21:53:27	en	igershelsinki kawa kafe cafe streetview interior kahvi coffee			Your road to glory will be rocky, but fulfilling. #cafe #kafe #kahvi #kawa #coffee #interior #igershelsinki #streetview
2020-08-21 16:19:02	en	pauligkulma myhelsinki		🤍	What a cosy Cáfe in the heart of Helsinki #myhelsinki🤍 #pauligkulma
2020-08-18 09:43:27	fi			❤ ✌	Kuvassa poseeraa 100% tunneihminen. Tiedättekö kun välillä sitä miettii, että voisinpa olla vähän järkevämpi ja rationaalisempi tyyppi. Se vois ehkä helpottaa elämää? Mutta toisaalta voimakkaiden tunteiden kokeminen ja tilanteisiin heittäytyminen on just niitä juttuja, mitkä tuo elämään värejä. Oon käynyt taas koko tunneskaalan läpi, kun oon saanut yhteydenottoja liittyen aiemmin jakamiini tuntemuksiin. Päällimmäisenä tällä hetkellä kiitollisuus lähimmäisiä kohtaan, jotka on aina valmiina nappaamaan kiinni kun kaadut. Lähimmäinen voi joskus olla myös entuudestaan sulle täysin tuntematon - joku hyväsydäminen ja rehellinen ihminen joka ilmoittaa itsestään kun sitä vähiten odotat. Vilpitön hyvä tahto ja empatia toisia kohtaan on hienoimpia piirteitä mitä mun mielestä ihmisellä voi olla. ❤️ Kylläpä tulee mun runokynästä taas mystistä liibalaabaa. Mä vaan sanon, että puhukaa ääneen kun on sellainen olo. YOLO. ✌️
2020-08-17 13:31:22	fi			💛 ☀	Aina yhtä mukavaa käydä Helsingissä asioimassa ja hengailla kamusen kanssa matcha kupposen äärellä☀️ Ps.kotona odottaa rääkyvä sähköposti kaaos sekä muutama muu homma, mutta nyt nautin auringosta, seurasta ja tästä hetkestä - kotitoimisto saa hetken odottaa💛 Miten siellä viikko startannut?
2019-10-04 15:50:19	en	friendshipgoals goodmoodfood dairyfree freebreakfast breku letsrace vegan powau breakfastgoals pauligkulma veganbreakfast yummie breakfasttime glutenfree	pauligkulma	♀ 🙀 🏻 ✨ 🙋 💌 🥑 😇 🏼 📩 ♥ 🍯 ‼ 🏆 👇	‼️🥑FREE BREKU FOR TWO🥑‼️⁣ We have new Brekkie menu in Paulig Kulma and we want to share these goodies with you guys ✨⁣ ⁣ It’s Friyayyy so let’s race 🏆👇🏼⁣ 1. like this post +⁣ 2. follow us +⁣ 3. tag your soulmate in breakfast⁣ -you can win breakfast for yourself and for your hun 🙋🏻‍♀️🍯⁣ Breakfast is served in Paulig Kulma Helsinki ( @pauligkulma )♥️⁣ The competition ends on 7.10 midnight and the winner will be notified personally by DM 📩💌⁣ There will be three pairs as winners!⁣ ⁣ Instagram or Facebook is not guilty of this race 😇⁣ •⁣ •⁣ #freebreakfast 🙀 #breku #breakfasttime #breakfastgoals #friendshipgoals #powau #pauligkulma #letsrace #glutenfree #dairyfree #vegan #veganbreakfast #yummie #goodmoodfood
2019-10-01 10:49:10	en	yummy	6ananagal pauligkulma	😍 👑 ✨ 🌹 ♥	N e w ✨✨✨✨B r e k k i e menu @pauligkulma 😍 jibii! #yummy ⁣ ⁣ Wazz new? vegan chocolate pancakes, powau granola & berries and milk, crab toast and smoothie of the month for example! The menu is designed by the best @6ananagal (can't live without her👑🌹✨)⁣ ⁣ Plz come and try it !!♥️⁣
2020-09-07 17:06:42	en			👉 🏾	Let me tell you something.. it’s not always easy. 👉🏾
2019-09-06 05:31:06	fi			🍳 🥑 😚 🍇 ☕	☕️🍳🍇🥑 aamupala & kaupungin vilinä. Ihanaa viikonloppua 😚
2020-08-17 13:31:22	fi			💛 ☀	Aina yhtä mukavaa käydä Helsingissä asioimassa ja hengailla kamusen kanssa matcha kupposen äärellä☀️ Ps.kotona odottaa rääkyvä sähköposti kaaos sekä muutama muu homma, mutta nyt nautin auringosta, seurasta ja tästä hetkestä - kotitoimisto saa hetken odottaa💛 Miten siellä viikko startannut?
2020-03-18 16:52:55	fi	babesofmissguided sponsored	riinapuonti eevaroots missguided	😌	Teki rehellisesti tosi hyvää käydä tänään vähän ihmisten ilmoilla - muuallakin kuin lähikaupassa😌 Dress @missguided #sponsored #babesofmissguided Photos @riinapuonti Edit @eevaroots
2018-12-03 18:44:12	fi	nailboxhelsinki_nudet nailboxhelsinki	nailboxhelsinki	🏻 🌸 🙊 ✨ 💖 🥇 ◾ 💅 🎀	Mikä näistä lakkauksista saa tittelin ”Marraskuun manikyyri”? 🥇🙊 Valitsimme 5 hienointa manikyyriä, mutta vain sinä päätät, mikä näistä on paras! Kommentoi alle: 1, 2, 3, 4 vai 5? ✨ ⠀ Mistä tiedät, että geelilakkaus sopii sinulle? ◾️kynsilakka irtoaa liian nopeasti; ◾️haluat kasvattaa omia kynsia; ◾️sinulla on vaurioituneet kynnet; ◾️haluat saada kynsiisi hienoja koristeluja; ◾️haluat säästää aikaa kynsilakkauksessa ja olla aina valmis menemään! ⠀ Tutustu hinnastoomme: 🌸50€ Geelilakkaus ilman koristeluja 🌸55€ Geelilakkaus koristelulla, 1-4 kynttä 🌸60€ Geelilakkaus koristelulla, yli 4 kynttä ⠀ 🌸Paciuksenkaari 14 💖+358 445 171173 🎀 Ajanvaraus WhatsAppissa (linkki keskusteluun biossa @nailboxhelsinki) 💅🏻#nailboxhelsinki_nudet #nailboxhelsinki
2020-09-24 14:29:40	en	helsinki smoothiebowl		🍒 ❤ 🥥 🍓	Beautiful inside and out 🍓🥥🍒❤️ #smoothiebowl #helsinki
2019-03-04 16:21:07	fi	elämänpienetilot		😍 ☀ 😅	Ja niin taas uus viikko lähti käyntii! Tiiättekö ku snapchat muistuttelee vuosi sitten/kaksi vuotta sitten tänä päivänä ja olin täysin unohtanu mun sillosen lemppari ruuan?? Juuri nyt rupeen tekee siis kanasalaattia à la pauliina 😍 Kyllästymiseen asti 😅 Ja sit nyt on jotain mitä odottaa, nimittäin kreikka kutsuu kesän alussa! ☀️ #elämänpienetilot
2020-08-17 05:50:09	en	visithelsinki coffeeshopdecor helsinki coffeeshop finland pauligkulma		☕	"Coffee and then the world." Loving this decor! ☕ #pauligkulma #coffeeshop #coffeeshopdecor #helsinki #visithelsinki #finland
2020-08-16 10:30:44	en	pauligkulma		❤	Peace Love Coffe #pauligkulma❤️
2020-08-15 08:59:26	fi				
2020-08-15 08:37:16	fi			😋	Käytiin Elmin kans brunssilla 😋
2020-08-14 15:28:37	fi	cheesecake cafephoto paulig selfie cake pauligkulma cafesinhelsinki face cappuccino coffee coffeetime	pauligfi pauligkulma		Yksi lempikahviloistani, Pauligin kulma Aleksanterinkadulla, Helsingissä on jälleen auki pitkän odotuksen ja remontin jälkeen. Täällä tuoksuu vastajauhettu kahvi ♡ Täällä on kyllä myös vähän paras valaistus yläkerrassa. Muuten en normisti paljon pärstäkuvia ottaisi :) #cafesinhelsinki #cafephoto #cappuccino #face #selfie #cheesecake #cake #coffee #coffeetime #pauligkulma #paulig @pauligkulma @pauligfi
2020-08-14 15:10:17	en	paulig funstuff diy coldbrew earrings fckcorona reopening moctail		☀	What a fun day at work ☀️ #reopening #fckcorona #coldbrew #diy #funstuff #paulig #moctail #earrings
2020-08-14 06:17:43	en	baristalife paulig frijay pauligkulma coffee summer moctail	pauligkulma	🥳 💚 🥂	Today we celebrate re-opening @pauligkulma 🥳🥂 Time for mocktals&more, starting at noon! Come 💚 #pauligkulma #paulig #coffee #moctail #baristalife #summer #frijay
2020-08-13 17:14:10	fi	vegancommunity healthyfood veganfoodie veganlifestlye veganism veganfood vegansofig vegan veganeats plantbaseddiet healthyvegan veganblogger foodiesofinstagram healthyveganfood veganinspiration vegansofinstagram vegaani plantbased veganfoodporn vegancafe veganlife rawvegan vegaaninen smoothie vgang vegaaninenhelsinki veganfoodlovers mango veganfoodshare veganfoodpics		🥭 🌱 🌻 🥺 🤍 💛 🍊 ☺ 😆	mangosmoothie & ginger-orange rawball 🍊🤍🥭 käytiin testaamassa ystäväni kanssa uudelleen auennut paulig kulma aleksanterinkadulla. sisustuksessa en huomannut oikeastaan mitään eroa vanhaan, mutta valikoima ei ollut enää niin hyvä kuin ennen. ainakin tänään oli aika suppea tarjonta vegaanisten tuotteiden osalta 🥺onneksi smoothie ja tuo pallo olivat hyvänmakuisia 🌻 raakapallo oli erittäin moist 😆 ja nämä oli yhteensä 4,80€, joten ei paha hintakaan. toivottavasti breku on yhtä hyvä kuin ennenkin! ☺️ pitää antaa sille mahis vielä 🌻🌱💛 . . . . . . . . 🌱 . . . . . . . . . . . . . . . . . . . . . #vegan #vegaani #vegaaninen #veganlife #veganlifestlye #vegansofig #vegansofinstagram #vegaaninenhelsinki #veganfood #veganfoodie #veganblogger #veganfoodshare #veganfoodlovers #healthyvegan #healthyveganfood #smoothie #mango #veganfoodporn #veganfoodpics #veganeats #veganinspiration #plantbased #plantbaseddiet #healthyfood #vegancafe #vgang #vegancommunity #foodiesofinstagram #rawvegan #veganism
2020-08-12 10:57:08	en			😍 🎉 🎀	We couldn't be more exited! Friday is the great opening day! 🎉🎉🎉 Paulig's brand ambassador Inkku having an earring workshop 17-18.30. 🎀 So bring your own coffee bag and go crazy in the crafting 😍😍😍
2020-08-08 12:36:48	nl	helsinki weekendoff pauligkulma			Small coffeebreak #weekendoff #helsinki #pauligkulma
2020-08-08 11:14:15	et	holiday helsinki weekend	pauligkulma		Pieni kahvihetki @pauligkulma #weekend #holiday #helsinki
2020-08-03 05:27:03	it	interior			#interior
2019-10-04 15:50:19	en	friendshipgoals goodmoodfood dairyfree freebreakfast breku letsrace vegan powau breakfastgoals pauligkulma veganbreakfast yummie breakfasttime glutenfree	pauligkulma	♀ 🙀 🏻 ✨ 🙋 💌 🥑 😇 🏼 📩 ♥ 🍯 ‼ 🏆 👇	‼️🥑FREE BREKU FOR TWO🥑‼️⁣ We have new Brekkie menu in Paulig Kulma and we want to share these goodies with you guys ✨⁣ ⁣ It’s Friyayyy so let’s race 🏆👇🏼⁣ 1. like this post +⁣ 2. follow us +⁣ 3. tag your soulmate in breakfast⁣ -you can win breakfast for yourself and for your hun 🙋🏻‍♀️🍯⁣ Breakfast is served in Paulig Kulma Helsinki ( @pauligkulma )♥️⁣ The competition ends on 7.10 midnight and the winner will be notified personally by DM 📩💌⁣ There will be three pairs as winners!⁣ ⁣ Instagram or Facebook is not guilty of this race 😇⁣ •⁣ •⁣ #freebreakfast 🙀 #breku #breakfasttime #breakfastgoals #friendshipgoals #powau #pauligkulma #letsrace #glutenfree #dairyfree #vegan #veganbreakfast #yummie #goodmoodfood
2019-10-01 10:49:10	en	yummy	6ananagal pauligkulma	😍 👑 ✨ 🌹 ♥	N e w ✨✨✨✨B r e k k i e menu @pauligkulma 😍 jibii! #yummy ⁣ ⁣ Wazz new? vegan chocolate pancakes, powau granola & berries and milk, crab toast and smoothie of the month for example! The menu is designed by the best @6ananagal (can't live without her👑🌹✨)⁣ ⁣ Plz come and try it !!♥️⁣
